book	status2	status	PARAGON	tok_length		ParagonURI	local_path
0620IbnQudamaMaqdisi.Mughni	pri	pri	z	1813302		z	../data/0620IbnQudamaMaqdisi/0620IbnQudamaMaqdisi.Mughni/0620IbnQudamaMaqdisi.Mughni.Shamela0008463-ara1
1320NuriTabarsi.MustadrakWasail	pri	pri	z	1756120		z	../data/1320NuriTabarsi/1320NuriTabarsi.MustadrakWasail/1320NuriTabarsi.MustadrakWasail.Shia001237Vols-ara1.completed
0845Maqrizi.ImtacAsmac	pri	pri	z	1731982		z	../data/0845Maqrizi/0845Maqrizi.ImtacAsmac/0845Maqrizi.ImtacAsmac.Masaha001864Vols-ara1
1090NizamDinBalkhi.FatawaHindiyya	pri	pri	fiqh: hanafi	1725618	1	0000Paragon.FiqhFatawaHanafiyya	../data/1090NizamDinBalkhi/1090NizamDinBalkhi.FatawaHindiyya/1090NizamDinBalkhi.FatawaHindiyya.Shamela0021640-ara1
1137IbnHasanBahaDinIsbahani.KashfLitham	pri	pri	z	1721784		z	../data/1137IbnHasanBahaDinIsbahani/1137IbnHasanBahaDinIsbahani.KashfLitham/1137IbnHasanBahaDinIsbahani.KashfLitham.Shia000220Vols-ara1
1231SayyidCaliTabatabai.RiyadMasail	pri	pri	z	1713753		z	../data/1231SayyidCaliTabatabai/1231SayyidCaliTabatabai.RiyadMasail/1231SayyidCaliTabatabai.RiyadMasail.Shia000277Vols-ara1
0966ShahidThani.MasalikAfham	pri	pri	z	1702661		z	../data/0966ShahidThani/0966ShahidThani.MasalikAfham/0966ShahidThani.MasalikAfham.Shia000163VolsBK2-ara1
1431MuhammadHusaynFadlAllah.TafsirMinWahyQuran	pri	pri	z	1689679		z	../data/1431MuhammadHusaynFadlAllah/1431MuhammadHusaynFadlAllah.TafsirMinWahyQuran/1431MuhammadHusaynFadlAllah.TafsirMinWahyQuran.Rafed0003257Vols-ara1
0386IbnAbiZaydQayrawani.NawadirWaZiyadat	pri	pri	z	1684148		z	../data/0386IbnAbiZaydQayrawani/0386IbnAbiZaydQayrawani.NawadirWaZiyadat/0386IbnAbiZaydQayrawani.NawadirWaZiyadat.Shamela0096257-ara1
1031CabdRaufMunawi.FaydQadir	pri	pri	z	1670878		z	../data/1031CabdRaufMunawi/1031CabdRaufMunawi.FaydQadir/1031CabdRaufMunawi.FaydQadir.Shamela0021660-ara1
0993MuhaqqiqArdabili.MajmacFaida	pri	pri	z	1670557		z	../data/0993MuhaqqiqArdabili/0993MuhaqqiqArdabili.MajmacFaida/0993MuhaqqiqArdabili.MajmacFaida.Masaha001171Vols-ara1
1408JawadCali.MufassalFiTarikhCarab	pri	pri	z	1659951		z	../data/1408JawadCali/1408JawadCali.MufassalFiTarikhCarab/1408JawadCali.MufassalFiTarikhCarab.ShamAY0007299-ara1
0911Suyuti.DurrManthur	pri	pri	z	1651349		z	../data/0911Suyuti/0911Suyuti.DurrManthur/0911Suyuti.DurrManthur.Shamela0012884-ara1.completed
1230IbnAhmadDasuqi.HashiyatCalaSharhKabir	pri	pri	z	1648263		z	../data/1230IbnAhmadDasuqi/1230IbnAhmadDasuqi.HashiyatCalaSharhKabir/1230IbnAhmadDasuqi.HashiyatCalaSharhKabir.Shamela0021604-ara1
0726CallamaHilli.TadhkiratFuqaha	pri	pri	z	1605932		z	../data/0726CallamaHilli/0726CallamaHilli.TadhkiratFuqaha/0726CallamaHilli.TadhkiratFuqaha.Shia000089Vols-ara1
0914IbnYahyaWansharisi.Micyar	pri	pri	z	1599216		z	../data/0914IbnYahyaWansharisi/0914IbnYahyaWansharisi.Micyar/0914IbnYahyaWansharisi.Micyar.ShamAY0034230-ara1
0241IbnHanbal.Musnad	pri	pri	z	1588089		z	../data/0241IbnHanbal/0241IbnHanbal.Musnad/0241IbnHanbal.Musnad.Shamela0025794-ara1.mARkdown
